ACC,F1,FDR,FN,FNR,FP,FPR,G,MCC,MODEL,NGENES,NGENES_AFFECTED,NMARKERS,NMARKERS_CAUSAL,NPV,NSAMPLES,PPV,REP,RSS,S2,TN,TNR,TP,TPR,TRANS
0.999748743718593,0.6666666666666666,0.5,0,0.0,1,0.00025131942699170643,0.7071067811865476,0.7070179207675744,Poisson,200,1,20,1,1.0,100,0.5,3,0.8005667700865324,2,3978,0.9997486805730083,1,1.0,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,Binomial,200,1,20,1,1.0,100,1.0,3,0.0,2,3979,1.0,1,1.0,none
,,,0,,0,,,,NBinomial,200,1,20,1,,100,,4,,2,0,,0,,none
,,,0,,0,,,,Poisson,200,1,20,1,,100,,4,,2,0,,0,,none
,,,0,,0,,,,Binomial,200,1,20,1,,100,,4,,2,0,,0,,none
,,,0,,0,,,,NBinomial,200,1,20,1,,100,,5,,2,0,,0,,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,Poisson,200,1,20,1,1.0,100,1.0,5,0.0,2,3979,1.0,1,1.0,none
,,,0,,0,,,,Binomial,200,1,20,1,,100,,5,,2,0,,0,,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,NBinomial,200,1,20,1,1.0,100,1.0,6,0.0,2,3979,1.0,1,1.0,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,Poisson,200,1,20,1,1.0,100,1.0,6,0.0,2,3979,1.0,1,1.0,none
0.9994974874371859,,1.0,1,1.0,1,0.00025131942699170643,0.0,-0.00025131942699170643,Binomial,200,1,20,1,0.9997486805730083,100,0.0,6,,2,3978,0.9997486805730083,0,0.0,none
,,,0,,0,,,,NBinomial,200,1,20,1,,100,,7,,2,0,,0,,none
1.0,1.0,0.0,0,0.0,0,0.0,1.0,1.0,Poisson,200,1,20,1,1.0,100,1.0,7,0.0,2,3979,1.0,1,1.0,none
