NSAMPLES	MODEL	TRANS	REP	R2	X2	X2p	X2c	nMSE	PCC	RHO
226	NBinomial	none	61	0.000724353058748	192.057761039	4.39217059924	4.8460122271	0.598291399505	0.976373516192	0.822250641621
226	NBinomial	none	62	0.000251064685634	167.333789633	5.85075976825	6.40035320805	0.581023870022	0.976764162028	0.827582492728
226	NBinomial	none	63	0.00120106005923	197.821522929	9.33467752985	9.68432381032	0.602919292823	0.975846086171	0.820353647142
226	NBinomial	none	64	1.0	185.32301863	1.40961018949	1.97935351074	0.576974207815	0.977074243726	0.828429878474
226	NBinomial	none	65	0.0	181.296711209	3.44330208067	3.96407041396	0.586993112624	0.976966523426	0.825711358527
226	NBinomial	none	66	0.727641028673	170.788881939	4.61707782093	5.01930490968	0.59534062826	0.976157773831	0.823009094789
226	NBinomial	none	67	1.0	189.238080323	12.3575682986	12.7884657039	0.589885430911	0.976497239813	0.82480114132
226	NBinomial	none	68	0.000583016259917	183.990357976	4.70798722829	5.149709117	0.588321611219	0.976739418347	0.825091410323
226	NBinomial	none	69	1.0	167.877029056	1.43328965734	1.92266231253	0.5907027591	0.977070931624	0.824844146085
226	NBinomial	none	7	0.00125239716373	185.50952519	3.98527692784	4.44427933075	0.59563998169	0.976658870339	0.823348796948
226	NBinomial	none	70	1.0	186.617180086	1.50876862243	2.0339419484	0.58560029096	0.976642342996	0.825866234718
226	NBinomial	none	71	0.999999993856	195.835455439	1.59798018344	2.08053161764	0.595402648691	0.976057328189	0.82262888989
226	NBinomial	none	72	0.0	166.049735804	8.02370129343	8.57100117874	0.584074817524	0.976764761528	0.82643876485
226	NBinomial	none	73	1.0	190.009086585	6.14443160083	6.60945303337	0.590724923615	0.976304090738	0.824272126078
226	NBinomial	none	74	8.45283864209e-05	204.997637854	4.00692614198	4.47192896594	0.586106818023	0.976572164947	0.825257105446
226	NBinomial	none	75	0.0	185.766455767	1.86726441688	2.32995619407	0.589645141694	0.976830955634	0.824519237499
226	NBinomial	none	76	0.000374585064774	181.018797292	1.41249071442	1.96496572836	0.58352692214	0.977109855894	0.826622282514
226	NBinomial	none	77	1.0	186.301419711	1.47563666901	1.9887778585	0.585539656189	0.976617266428	0.825742958226
226	NBinomial	none	78	1.0	201.263006824	1.70417621619	2.1862362725	0.59198887074	0.976828932437	0.8240509907
226	NBinomial	none	79	0.000280954981017	167.934862444	1.55378471951	2.03019313569	0.591338369923	0.976232936545	0.8232275485
226	NBinomial	none	8	1.0	197.815581063	1.48480188408	1.98739750468	0.589462799836	0.976699796662	0.8248020029
226	NBinomial	none	80	0.000193620911443	179.050755449	1.48107625793	1.93984056628	0.595749514784	0.976653828402	0.823138255149
226	NBinomial	none	81	0.00216434983698	191.72456494	4.95912021435	5.48254175246	0.586440441524	0.976775620527	0.825771359535
226	NBinomial	none	82	0.99566745796	172.709950584	1.29723352454	1.85599928911	0.589486938892	0.976703474234	0.824891750576
226	NBinomial	none	83	1.0	201.365277917	3.05096130205	3.48708967277	0.597865881995	0.97618092335	0.822530957023
226	NBinomial	none	84	0.0	168.499210511	1.33038097662	1.85269755216	0.59327196078	0.976534301876	0.823926486932
226	NBinomial	none	85	0.0	202.146031259	1.5607287321	2.08519099136	0.587805879354	0.976235989376	0.825378559012
226	NBinomial	none	86	0.000141388984849	197.636101167	1.73900401834	2.21339262334	0.592932394616	0.976353665655	0.823527735109
226	NBinomial	none	87	0.00132774859936	194.544381	5.73321139832	6.19901365092	0.592737280954	0.976170107636	0.823305578822
226	NBinomial	none	88	0.00047027294542	193.612164192	1.51731039369	2.02029306531	0.587816239295	0.976753121051	0.825327113209
226	NBinomial	none	89	0.999999999939	177.985603794	4.29327402918	4.78128000612	0.584947967116	0.976748493671	0.826564638297
226	NBinomial	none	9	1.0	183.591231349	1.94712158179	2.44527626159	0.58874485645	0.976745675496	0.825273913224
226	NBinomial	none	90	0.000287853187536	183.79517892	3.64299715117	4.13220556048	0.586832193763	0.976484515675	0.82566750045
226	NBinomial	none	91	1.0	176.281469535	1.38025225946	1.87468285228	0.590720739615	0.977054199114	0.825152574473
226	NBinomial	none	92	0.000649559666513	175.081260981	4.36541314689	4.8836938664	0.587024020522	0.976861427616	0.825588878348
226	NBinomial	none	93	0.999995571271	205.782014625	4.99082474717	5.44854295053	0.59316777055	0.977029179266	0.823986261872
226	NBinomial	none	94	0.00163250150819	187.513201387	1.6572822186	2.11965956349	0.584274398296	0.976700492471	0.825605165456
226	NBinomial	none	95	1.0	188.713172015	6.16332440482	6.59093561055	0.592467367161	0.976720995341	0.824146484167
226	NBinomial	none	96	1.0	201.840130383	5.72577829649	6.17236783691	0.591767782597	0.977059563091	0.824864591515
226	NBinomial	none	97	0.00091646127938	194.582879988	3.94024350755	4.37552819097	0.589774401104	0.976652314803	0.824921807717
226	NBinomial	none	98	1.0	190.714102946	1.56814424051	2.04053157235	0.588270419543	0.97670469183	0.824537559472
226	NBinomial	none	99	1.0	195.520149887	1.44174717647	1.95837725353	0.588040632334	0.976208887629	0.824794099166
226	Normal	blom	1	1.0	7954187.58572	1.11218477289	-2.04522808852	2.0676091867	0.0130651979947	0.00679203244024
226	Normal	blom	10	1.0	148652970.651	1.16565444747	-2.01114541624	2.07204646447	0.0232659369657	0.000945649819822
226	Normal	blom	100	1.0	64856055.3867	1.13328623011	-2.0234365328	2.06660875728	0.0145666645932	0.00478953253265
226	Normal	blom	11	1.0	168490319.383	1.13048663745	-2.04882419084	2.06884985299	0.0248366461301	0.00508154231629
226	Normal	blom	12	1.0	300542189.213	1.18910712039	-1.98793456958	2.0636835519	0.0259795322507	0.0068836940294
226	Normal	blom	13	1.0	985010002.795	1.16249204096	-2.01132114805	2.06999778234	0.0238259488527	0.00531900634138
226	Normal	blom	14	1.0	238533794.266	1.14050985708	-2.02089636956	2.06933671999	0.0184808541545	0.00490256169076
226	Normal	blom	15	1.0	346443924.932	1.13743268199	-2.02751048159	2.07200706497	0.0146476693067	0.00218202766731
226	Normal	blom	16	1.0	818753407.303	1.07969733312	-2.07069715235	2.07295066036	0.0209077761282	0.000740635593149
226	Normal	blom	17	1.0	276985193.142	1.17365696347	-2.00660162542	2.06654410814	0.0244349558964	0.00541077836875
226	Normal	blom	18	1.0	21335229.5536	1.08596543917	-2.04466338225	2.0661152934	0.0191590533474	0.00220196404543
226	Normal	blom	19	1.0	110742529.311	1.1822154332	-2.00759182103	2.06132207734	0.0259111294329	0.00655951581515
226	Normal	blom	2	1.0	242962146.921	1.14061052931	-2.0390481735	2.0722314221	0.0112748338663	0.00454762783779
226	Normal	blom	20	1.0	814268929.91	1.11850725754	-2.0311625183	2.06337318714	0.0204104004028	0.005057556133
226	Normal	blom	21	0.000967450670941	266339170.441	1.15387475337	-2.01807932577	2.06672906359	0.00200627019974	0.00483600561745
