ACC,F1,FDR,FN,FNR,FP,FPR,G,MCC,MODEL,NGENES,NGENES_AFFECTED,NMARKERS,NMARKERS_CAUSAL,NPV,NSAMPLES,PPV,R2,REP,RSS,S2,TN,TNR,TP,TPR,TRANS
0.9984,0.38461538461538464,0.6875,5,0.5,11,0.0011011011011011012,0.39528470752104744,0.3945327067528412,Normal,100,10,100,1,0.9994991987179487,1000,0.3125,0.3790242877465487,2,0.08559716063633405,1,9979,0.9988988988988989,5,0.5,blom
0.9996,0.8000000000000002,0.2,2,0.2,2,0.0002002002002002002,0.8,0.7997997997997998,Normal,100,10,100,1,0.9997997997997998,1000,0.8,0.7833682733528964,3,0.03695408185795794,1,9988,0.9997997997997998,8,0.8,log
0.9998,0.888888888888889,0.0,2,0.2,0,0.0,0.8944271909999159,0.894337672189603,Normal,100,10,100,1,0.9997998398718975,1000,1.0,0.7925199621405072,3,0.03539294276799054,1,9990,1.0,8,0.8,boxcox
0.9977,0.37837837837837834,0.7407407407407407,3,0.3,20,0.002002002002002002,0.4260064336151292,0.42514994721506755,Normal,100,10,100,1,0.9996991878070791,1000,0.25925925925925924,0.5973125345443033,3,0.06869236465009908,1,9970,0.997997997997998,7,0.7,blom
0.998,0.7560975609756097,0.03125,19,0.38,1,0.00010050251256281407,0.775,0.7741744299944948,Normal,100,10,100,5,0.9980939004815409,1000,0.96875,0.6982296639405698,1,0.009664992474281228,1,9949,0.9998994974874372,31,0.62,log
0.9951,0.5739130434782608,0.49230769230769234,17,0.34,32,0.0032160804020100503,0.5788582927426392,0.5764722943803419,Normal,100,10,100,5,0.998288877705083,1000,0.5076923076923077,0.6065423379246487,1,0.012601521383989333,1,9918,0.99678391959799,33,0.66,boxcox
0.9961,0.5894736842105264,0.37777777777777777,22,0.44,17,0.001708542713567839,0.5902918298980975,0.5883430614230745,Normal,100,10,100,5,0.9977900552486187,1000,0.6222222222222222,0.5763523777642687,1,0.013568434638483168,1,9933,0.9982914572864322,28,0.56,blom
0.9975,0.6666666666666666,0.0,25,0.5,0,0.0,0.7071067811865476,0.7062201265667242,Normal,100,10,100,5,0.9974937343358395,1000,1.0,0.33098444671849847,2,0.021034548373425804,1,9950,1.0,25,0.5,log
0.9923,0.3739837398373984,0.684931506849315,27,0.54,50,0.005025125628140704,0.3806987087570893,0.37697583799182804,Normal,100,10,100,5,0.9972801450589301,1000,0.3150684931506849,0.44191495751736987,2,0.017546777148911563,1,9900,0.9949748743718593,23,0.46,boxcox
0.9964,0.47058823529411764,0.1111111111111111,34,0.68,2,0.00020100502512562814,0.5333333333333333,0.5321433040347094,Normal,100,10,100,5,0.9965938689641355,1000,0.8888888888888888,-0.18796556235729356,2,0.03735087916088275,1,9948,0.9997989949748743,16,0.32,blom
