MODEL	TRANS	REP	R2	X2	X2p	X2c
Normal	blom	35	1.0	2.34333093555e+22	1.09738788183	2.05279768566
Normal	blom	36	1.0	1.00370962971e+23	1.16381797578	2.03788696068
Normal	blom	37	1.0	1.96640583453e+24	1.21304926358	2.04755477814
Normal	blom	38	1.0	6.14396533641e+21	1.13971433126	2.0528987315
Normal	blom	39	1.0	7.05491114176e+24	1.12096921861	2.0507505305
Normal	blom	4	1.0	6.34528249582e+23	1.13871970641	2.0508353171
Normal	blom	40	1.0	1.32477538073e+23	1.11157601985	2.04921128873
Normal	blom	41	1.0	1.89947857082e+23	1.10860350985	2.04929099102
Normal	blom	42	1.0	3.6780347933e+22	1.11643964645	2.05279850314
Normal	blom	43	1.0	6.32789995315e+23	1.14750116226	2.05090934855
Normal	blom	44	1.0	3.78384455894e+22	1.11735528286	2.05741786994
Normal	blom	45	1.0	3.87004750922e+22	1.18764153374	2.05270866199
Normal	blom	46	1.0	7.29996487564e+23	1.10548653541	2.05021789841
Normal	blom	47	1.0	2.38016429211e+24	1.10623011966	2.05407383661
Normal	blom	48	1.0	2.59204183243e+23	1.16179134636	2.05379221999
Normal	blom	49	1.0	6.64608570252e+21	1.15617023046	2.04793729143
Normal	blom	5	1.0	1.25551012161e+22	1.13691017537	2.04821537045
Normal	blom	50	1.0	1.20972978592e+23	1.15053030174	2.04807631991
Normal	blom	51	1.0	1.63803457859e+23	1.13566619661	2.05131596666
Normal	blom	52	1.0	4.85318349725e+20	1.12578960952	2.0526392371
Normal	blom	53	1.0	1.0170352483e+24	1.09785348681	2.05516980495
Normal	blom	54	1.0	3.73971119782e+22	1.12208512034	2.05130565601
Normal	blom	55	1.0	8.7276643113e+22	1.17043867644	2.05075010893
Normal	blom	56	1.0	1.41773838199e+21	1.15971902141	2.05971290346
Normal	blom	57	1.0	1.49772088127e+22	1.15163825157	2.05040357236
Normal	blom	58	1.0	1.71214081225e+22	1.04660815495	2.04807023046
Normal	blom	59	1.0	2.02838551888e+19	1.1438348365	2.05173015648
Normal	blom	6	1.0	1.2853063202e+24	1.18904931532	2.0487313357
Normal	blom	60	1.0	3.61752536516e+24	1.09957986486	2.04175039439
Normal	blom	61	1.0	3.90059780757e+20	1.16399096377	2.04590409092
Normal	blom	62	1.0	3.38028467453e+23	1.16436803285	2.048353962
Normal	blom	63	1.0	2.14614155796e+22	1.18535589429	2.04838850409
Normal	blom	64	1.0	6.67014483717e+23	1.1166886323	2.05258700141
Normal	blom	65	1.0	8.11879237233e+23	1.19147051251	2.05698199056
Normal	blom	66	1.0	2.05627700358e+24	1.15429027407	2.0491502732
Normal	blom	67	1.0	5.5047275231e+21	1.10838698364	2.04464275999
Normal	blom	68	1.0	3.46618377858e+23	1.08244714846	2.05078299985
Normal	blom	69	1.0	5.11520045153e+21	1.13699599408	2.05737394754
Normal	blom	7	1.0	1.2130085056e+24	1.05404442089	2.05526841097
Normal	blom	70	1.0	1.15286402039e+23	1.16660947258	2.04049628046
Normal	blom	71	1.0	1.64099001288e+23	1.14584856414	2.04777645714
Normal	blom	72	1.0	4.01121707054e+26	1.1080983479	2.05275812213
Normal	blom	73	1.0	4.45279279037e+23	1.23540829657	2.0433798534
