ACC,F1,FDR,FN,FNR,FP,FPR,G,MCC,MODEL,NGENES,NGENES_AFFECTED,NMARKERS,NMARKERS_CAUSAL,NPV,NSAMPLES,PPV,REP,RSS,SIZE,TN,TNR,TP,TPR,TRANS
0.9982,0.25,0.0,18,0.8571428571428571,0,0.0,0.3779644730092272,0.3776240495969411,Normal,100,1,100,1,0.9981994598379513,1000,1.0,4,7.555654864485327,5.0,9979,1.0,3,0.14285714285714285,boxcox
0.9981,0.17391304347826084,0.0,19,0.9047619047619048,0,0.0,0.3086066999241838,0.3083133254652272,Normal,100,1,100,1,0.9980996199239848,1000,1.0,4,23.036743867532305,5.0,9979,1.0,2,0.09523809523809523,blom
0.9984,0.3846153846153846,0.0,16,0.7619047619047619,0,0.0,0.4879500364742666,0.4875593247419328,Normal,100,1,100,1,0.9983991995998,1000,1.0,5,6.730848512988345,5.0,9979,1.0,5,0.23809523809523808,log
0.9983,0.32,0.0,17,0.8095238095238095,0,0.0,0.4364357804719847,0.436064503688091,Normal,100,1,100,1,0.9982993197278912,1000,1.0,5,7.868487058000991,5.0,9979,1.0,4,0.19047619047619047,boxcox
0.9985,0.4444444444444445,0.0,15,0.7142857142857143,0,0.0,0.5345224838248488,0.5341212006543822,Normal,100,1,100,1,0.9984990994596759,1000,1.0,5,3.4319443150477333,5.0,9979,1.0,6,0.2857142857142857,blom
0.998,0.0909090909090909,0.0,20,0.9523809523809523,0,0.0,0.21821789023599236,0.21799954128173646,Normal,100,1,100,1,0.997999799979998,1000,1.0,6,93.29831316915087,5.0,9979,1.0,1,0.047619047619047616,log
,,,0,,0,,,,Normal,100,1,100,1,,1000,,6,,5.0,0,,0,,boxcox
0.998,0.0909090909090909,0.0,20,0.9523809523809523,0,0.0,0.21821789023599236,0.21799954128173646,Normal,100,1,100,1,0.997999799979998,1000,1.0,6,93.29831316915087,5.0,9979,1.0,1,0.047619047619047616,blom
0.9982,0.25,0.0,18,0.8571428571428571,0,0.0,0.3779644730092272,0.3776240495969411,Normal,100,1,100,1,0.9981994598379513,1000,1.0,7,11.389303356818635,5.0,9979,1.0,3,0.14285714285714285,log
0.9982,0.25,0.0,18,0.8571428571428571,0,0.0,0.3779644730092272,0.3776240495969411,Normal,100,1,100,1,0.9981994598379513,1000,1.0,7,9.59333966339726,5.0,9979,1.0,3,0.14285714285714285,boxcox
